file,prediction,ai_probability,prediction_name,ai_probability_percent
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/030 - BEST SORA 2 AI MEMES EPISODE 5_256.wav,1,0.9999951124191284,AI,99.99951124191284
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/037 - south park special episode： DOOMED DAD (made by ai)_156.wav,1,0.9999951124191284,AI,99.99951124191284
"/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/189 - Cartoons, Cars and Spongebob Lost Episode 2025 (Sora 2)_000.wav",1,0.9999951124191284,AI,99.99951124191284
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/003 - Rick and Morty in Bikini Bottom (Sora 2)_012.wav,1,0.9999951124191284,AI,99.99951124191284
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/286 - SpongeBob Sora 2 Compilation_004.wav,1,0.9999949932098389,AI,99.99949932098389
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/012 - BEST SORA 2 AI MEMES EPISODE 1_004.wav,1,0.9999949932098389,AI,99.99949932098389
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/030 - BEST SORA 2 AI MEMES EPISODE 5_210.wav,1,0.9999949932098389,AI,99.99949932098389
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/292 - McDonald’s 🍟Happy Meal by Animation Studios_030.wav,1,0.9999949932098389,AI,99.99949932098389
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_121.wav,1,0.9999949932098389,AI,99.99949932098389
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/008 - A fully AI generated Spongebob episode. Part 2! (Sora 2)_013.wav,1,0.9999949932098389,AI,99.99949932098389
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_019.wav,1,0.9999948740005493,AI,99.99948740005493
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/050 - Apocalypse of the Movie Studios_003.wav,1,0.9999948740005493,AI,99.99948740005493
